,Channel,Subscribers,Subscribers for the last 30 days,% change,Video views for the last 30 days,% change.1
0,Ha Linh official,1790000.0,30000.0,0.0,10462000.0,11.6
1,Chloe Nguyen,408000.0,5464.285714285715,12.642857142857142,310726.0,65.1
2,Changmakeup,1240000.0,5464.285714285715,12.642857142857142,87241.0,-4.1
3,Góc của Rư,670000.0,1000.0,0.0,317814.0,24.2
4,Mai Vân Trang,368000.0,5464.285714285715,12.642857142857142,67034.0,8.6
5,Call me Duy,534000.0,1000.0,-50.0,53873.0,-32.8
6,Luna Đào Official,485000.0,5000.0,200.0,1327000.0,237.5
7,Nguyen Thuc Thuy Tien,132000.0,50.0,-61.5,13069.0,-52.9
8,An Phương,414000.0,5464.285714285715,12.642857142857142,43026.0,-72.7
9,Q U I N,313000.0,5464.285714285715,12.642857142857142,146505.0,2.5
10,✨ Gau Zoan ✨,160000.0,5464.285714285715,12.642857142857142,38117.0,-11.6
11,Rosie Pham,457000.0,5464.285714285715,12.642857142857142,34795.0,2.8
12,Blingbabi,391000.0,200.0,0.0,64737.0,575.9
13,1m88,170000.0,1000.0,0.0,412802.0,10.7
