,Channel,Subscribers,Subscribers for the last 30 days,% change,Video views for the last 30 days,% change.1
0,Ông Anh thích nấu ăn,458000.0,7000.0,-22.2,3902000.0,-27.4
1,Bếp Trưởng Review,315000.0,2000.0,0.0,1869000.0,11.7
2,Ninh Tito,833000.0,9308.076923076924,29.976923076923075,956015.0,31.0
3,Khoai lang thang,1970000.0,20000.0,0.0,5857000.0,80.9
4,Cô Ba Bình Dương,1340000.0,30000.0,50.0,6041000.0,2.5
5,Sapa TV,1350000.0,20000.0,100.0,18837000.0,2.5
6,Dũng béo ẩm thực phố phường,116000.0,1000.0,0.0,779733.0,-3.7
7,VNT Food & Travel,627000.0,5000.0,0.0,3526000.0,-2.3
8,ĐI ĐÂU ĂN GÌ ?,276000.0,1000.0,-66.7,920927.0,-13.3
9,Ẩm thực mẹ làm,1020000.0,9308.076923076924,29.976923076923075,1213000.0,12.4
10,Hanoi food,403000.0,5000.0,0.0,3576000.0,-18.0
11,Max McFarlin,537000.0,12000.0,200.0,18000.0,104.4
12,Thằng Mập Food,381000.0,17000.0,142.9,5368000.0,29.7
13,Hôm nay ăn gì?,317.0,5.0,-14.3,1517.0,17.6
14,Ok Con Dê,104000.0,1000.0,0.0,396088.0,-10.2
